40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
1953      	Dag Hammarskjold succeeds Trygve Lie as secretary-general of the UN.
1953      	Edmund Hillary and Tenzing Norgay are the first to climb Mount Everest.
1953      	Eisenhower is inaugurated as the 34th U.S. president; Nixon becomes vice-president.
1953      	Fidel Castro leads an attack on an army barracks in Cuba; he is captured and imprisoned.
1953      	Golfer Ben Hogan wins the U.S. Open, Masters, and British Open tournaments.
1953      	Hugh Hefner publishes the first issue of Playboy magazine.
1953      	Hussein I succeeds his father as king of Jordan.
1953      	Israeli prime minister Ben-Gurion retires; he is succeeded by Moshe Sharett.
1953      	Jacques Piccard's bathyscaphe the Trieste descends to a depth of 10,330 ft.
1953      	James Watson and Francis Crick propose the double helix structure of DNA.
1953      	John Foster Dulles is selected as the U.S. secretary of state.
1953      	Laos, formerly a part of French Indochina, is granted independence.
1953      	Lavrenti Beria, head of the Soviet security service, is arrested and executed.
1953      	Marilyn Monroe stars in the film Gentlemen Prefer Blondes.
1953      	Murray Gell-Mann proposes the strangeness property of some subatomic particles.
1953      	Physicist Donald Glaser invents the bubble chamber to detect subnuclear particles.
1953      	Soviet dictator Joseph Stalin dies; Georgy M. Malenkov becomes the new premier.
1953      	The first heart-lung machine is developed by Dr. John Gibbon.
1953      	The fossil remains of Piltdown man are proved a hoax 41 years after their discovery.
1954      	A Supreme Court decision prohibits racial segregation in U.S. public schools.
1954      	American novelist Evan Hunter publishes The Blackboard Jungle.
1954      	British artist Francis Bacon begins his Portrait of Pope Innocent X series.
1954      	British novelist William Golding publishes Lord of the Flies.
1954      	Dylan Thomas' radio play Under Milk Wood is performed posthumously.
1954      	English runner Roger Bannister is first to run the mile in under 4 minutes.
1954      	French forces are defeated at the Battle of Dien Bien Phu in North Vietnam.
1954      	Gamal Abdel Nasser ousts Gen. Muhammad Naguib as president of Egypt.
1954      	Ian Fleming publishes the first James Bond thriller Casino Royale.
1954      	Italian film-maker Federico Fellini directs La Strada.
1954      	Kingsley Amis, one of England's angry young men, publishes Lucky Jim.
1954      	Marlon Brando stars in Elia Kazan's film On the Waterfront.
1954      	National Liberation Front (FLN) raids on French property spark the Algerian War.
1954      	Senator McCarthy is discredited for failing to prove claims of communist penetration.
1954      	The Geneva Conference establishes the partition of Vietnam into North and South.
1954      	The U.S. and Canada begin construction of the St. Lawrence Seaway.
1954      	The U.S. nuclear submarine the Nautilus is launched.
1955      	A military coup in Argentina deposes president Juan Peron.
1955      	American artist Jasper Johns begins his paintings of American flags and targets.
1955      	American artist Larry Rivers paints Double Portrait of Birdie.
1955      	American rock 'n' roll musician Bill Haley records Rock Around the Clock.
1955      	Anthony Eden succeeds Winston Churchill as prime minister of Great Britain.
1955      	Austria achieves independence; the four-power occupation is terminated.
1955      	British writer Graham Greene publishes The Quiet American.
1955      	British writer and scholar J.R.R. Tolkien completes The Lord of the Rings.
1955      	David Ben-Gurion returns as prime minister of Israel.
1955      	Film star James Dean is killed in a car crash.
1955      	Jonas Salk's vaccine against polio comes into widespread use.
1955      	Marian Anderson becomes the first black to perform at the Metropolitan Opera House.
1955      	Martin Luther King, Jr. leads a boycott against racial segregation on buses.
1955      	Russian writer Vladimir Nabokov publishes the novel Lolita.
1955      	Satyajit Ray directs Pather Panchali, the first film in a trilogy on Bengali family life.
1955      	The Federal Republic of Germany joins NATO.
1955      	The Warsaw Pact establishes a military alliance of European Communist nations.
1955      	Theologian Pierre Teilhard de Chardin publishes The Phenomenon of Man.
1956      	American beat poet Allen Ginsberg publishes Howl and Other Poems.
1956      	American television news show The Huntley-Brinkley Report begins.
1956      	American writer Grace Metalious publishes Peyton Place.
1956      	Anglo-French forces invade Egypt but withdraw after protests from the U.S.
1956      	Archbishop Makarios III is deported from Cyprus by the British.
1956      	Brendan Behan's play The Quare Fellow opens in London.
1956      	Britain, France and Israel agree on a secret joint action against Egypt.
1956      	British artist Richard Hamilton produces the first pop art work.
1956      	David Niven stars in the film Around the World in Eighty Days.
1956      	Eugene O'Neill's play Long Day's Journey Into Night is produced.
1956      	Fidel Castro and Che Guevara land in Cuba and begin a guerrilla war.
1956      	Film actress Grace Kelly marries Prince Rainier III of Monaco.
1956      	Heavyweight boxing champion Rocky Marciano retires without being defeated.
1956      	Israeli forces under Moshe Dayan seize the Gaza Strip and the Sinai Peninsula.
1956      	John Osborne's first play Look Back In Anger is produced in London.
1956      	Lerner and Loewe's musical My Fair Lady opens in New York.
1956      	President Anastasio Somoza Garcia is assassinated in Nicaragua.
1956      	President Nasser nationalizes the Suez Canal before the British lease expires.
1956      	President Ngo Dinh Diem refuses to hold elections in South Vietnam.
1956      	Rock 'n roll singer Elvis Presley records his first hit Heartbreak Hotel.
1956      	Soviet first secretary Nikita Khrushchev denounces the crimes of the Stalin era.
1956      	Sudan gains independence from Anglo-Egyptian rule.
1956      	The Hungarian Uprising is suppressed by Soviet troops.
1956      	The Italian ocean liner Andrea Doria sinks off the U.S. coast after a collision in fog.
1956      	Tunisia and Morocco are granted independence by France.
1957      	Beat generation writer Jack Kerouac publishes On The Road.
1957      	Black tennis player Althea Gibson wins the U.S. Open and Wimbledon championships.
1957      	British philosopher A.J. Ayer publishes The Problem of Knowledge.
1957      	British prime minister Anthony Eden resigns; is succeeded by Harold Macmillan.
1957      	Dr. Seuss publishes the children's book The Cat in the Hat.
1957      	Francois Duvalier (known as Papa Doc) is elected president of Haiti.
1957      	Ghana gains independence; Kwame Nkrumah becomes the first prime minister.
1957      	Jerome Robbins is director-choreographer of the musical West Side Story.
1957      	John G. Diefenbaker succeeds Louis St. Laurent as prime minister of Canada.
1957      	Lawrence Durrell publishes Justine, the first of The Alexandria Quartet novels.
1957      	Scientists from 67 nations work together during the International Geophysical Year.
1957      	Soviet leaders Malenkov and Molotov fail in an attempt to oust Khrushchev from power.
1957      	Swedish filmmaker Ingmar Bergman directs The Seventh Seal.
1957      	The Israeli army withdraws from Egypt; the Gaza Strip is policed by UN forces.
1957      	The USSR launches Sputnik I, the first artificial satellite.
1957      	The Viet Cong begin acts of rebellion in South Vietnam.
1957      	Tunku Abdul Rahman becomes the first prime minister of independent Malaya (Malaysia).
1958      	American economist J.K. Galbraith publishes The Affluent Society.
1958      	American golfer Arnold Palmer wins the Masters tournament for the first time.
1958      	American playwright Edward Albee writes The Zoo Story.
1958      	American writer Truman Capote publishes the novella Breakfast At Tiffany's.
1958      	Bertrand Russell founds the Campaign for Nuclear Disarmament (CND) in Britain.
1958      	Civil war breaks out in Lebanon; it is ended when U.S. Marines land at Beirut.
1958      	Egypt and Syria form the United Arab Republic.
1958      	Gen. Muhammad Ayub Khan seizes control in Pakistan.
1958      	Leonard Bernstein becomes the conductor of the New York Philharmonic orchestra.
1958      	Nikita Khrushchev replaces Nikolai Bulganin as Soviet premier.
1958      	Prime minister Hendrik Verwoerd extends South Africa's apartheid laws.
1958      	Russian writer Boris Pasternak publishes the novel Doctor Zhivago.
1958      	Soccer player Pele leads Brazil to victory in the World Cup.
1958      	The Algerian crisis prompts the recall of Charles de Gaulle as president of France.
1958      	The European Economic Community (EEC) is established.
1958      	The French army and settlers in Algiers revolt over the Algerian War stalemate.
1958      	The National Aeronautics and Space Administration (NASA) is founded.
1958      	The U.S. launches the Explorer I and Vanguard I scientific satellites.
1958      	The first intercontinental ballistic missile (ICBM) is launched in the U.S.
1958      	The nuclear submarine Nautilus reaches the North Pole under the Polar ice cap.
1958      	Wilson Greatbatch invents an artificial pacemaker to control heartbeats.
1959      	Alaska is inaugurated as the 49th state of the Union.
1959      	American writer Leon Uris publishes Exodus, a novel on the founding of Israel.
1959      	American writer William Burroughs publishes The Naked Lunch.
1959      	Anthropologists Richard and Mary Leakey discover an Australopithecus skull in Africa.
1959      	Artist Robert Rauschenberg creates the three-dimensional collage Monogram.
1959      	Cyprus gains independence from Britain; Archbishop Makarios becomes president.
1959      	Fidel Castro ousts Cuban leader Fulgencio Batista in a communist revolution.
1959      	Film actor Charlton Heston wins the Academy Award for his role in Ben-Hur.
1959      	French New Wave filmmaker Jean Luc Godard directs Breathless.
1959      	French filmmaker Alain Resnais directs Hiroshima Mon Amour.
1959      	French filmmaker Francois Truffaut directs The 400 Blows.
1959      	German writer Gunter Grass publishes his first novel The Tin Drum.
1959      	Hawaii is inaugurated as the 50th state of the Union.
1959      	Jack Lemon, Tony Curtis and Marilyn Monroe star in the film Some Like it Hot.
1959      	Lee Kuan Yew becomes prime minister of Singapore.
1959      	Lorraine Hansberry's A Raisin in the Sun is the first Broadway play by a black woman.
1959      	NASA selects the first seven U.S. astronauts.
1959      	Rock 'n roll star Buddy Holly is killed in a plane crash.
1959      	Rod Serling hosts the Twilight Zone television series.
1959      	Rogers and Hammerstein's Broadway musical The Sound of Music is produced.
1959      	Sir Christopher Cockerell tests the first air-cushion vehicle.
1959      	The Boeing 707 jet airliner enters service.
1959      	The Dalai Lama flees to India after China crushes an uprising in Tibet.
1959      	The Guggenheim Museum, designed by Frank Lloyd Wright, opens in New York City.
1959      	The Soviet Union sends a series of Luna space probes to the Moon.
1959      	The first flight is made by the X-15 rocket-powered research aircraft.
1960      	69 Africans are killed in the Sharpeville massacre in South Africa.
1960      	A military coup takes place in Turkey; prime minister Adnan Menderes is executed (1961).
1960      	A student uprising forces the resignation of Syngman Rhee, president of South Korea.
1960      	American author John Updike publishes the novel Rabbit Run.
1960      	American physicist Theodore H. Maiman demonstrates the first successful laser.
1960      	American track star Wilma Rudolph wins 3 gold medals at the Rome Olympic Games.
1960      	An earthquake kills 15,000 at Agadir in Morocco.
1960      	Belgium grants independence to the Congo (Zaire); Patrice Lumumba becomes premier.
1960      	Britain grants independence to Nigeria; Abubakar Balewa continues as prime minister.
1960      	Congo (Zaire) premier Patrice Lumumba is ousted by Joseph Mobutu and murdered.
1960      	Filmmaker Alfred Hitchcock directs the suspense thriller Psycho.
1960      	Former Nazi official Adolf Eichmann is abducted to Israel.
1960      	France grants independence to the Congo, Chad, Central African Republic, and Gabon.
1960      	Harold Pinter's play The Caretaker is produced.
1960      	Italian filmmaker Michelangelo Antonioni directs La Notte (The Night).
1960      	Jacques Piccard and Don Walsh descend to 35,800 ft in the bathyscaphe Trieste.
1960      	NASA launches the first TIROS weather satellite.
1960      	Religious broadcaster Pat Robertson founds the Christian Broadcasting Network.
1960      	Sirimavo Bandaranaike becomes the world's first woman prime minister in Ceylon (Sri Lanka).
1960      	South African civil rights leader Albert Luthuli wins the Nobel Peace Prize.
1960      	The Congo crisis begins with the secession of Katanga province under Moise Tshombe.
1960      	The Echo 1 experimental communications satellite is launched.
1960      	The Motown record company is founded in Detroit by Berry Gordy.
1960      	The South African government bans the African National Congress (ANC).
1960      	The Soviets shoot down a U-2 spy plane; U.S. pilot Francis Gary Powers is captured.
1960      	The first quasars, the most luminous known objects in the universe, are discovered.
1960      	The first submerged firing is made of a Polaris submarine-launched missile.
1960      	The planned city of Brasilia becomes the new capital of Brazil.
1960      	The presidential debates of John F. Kennedy and Richard Nixon are televised.
1960      	Viet Cong groups unite into the National Liberation Front of South Vietnam (NLFSV).
1960      	Walter Ulbricht becomes head of East Germany.
1961      	Agostinho Neto and Holden Roberto lead insurrections in Portuguese Angola.
1961      	American writer Joseph Heller publishes the anti-war novel Catch-22.
1961      	American-aided Cuban exiles attempt the unsuccessful Bay of Pigs invasion.
1961      	Astronaut Alan Shepard makes the first U.S. suborbital space flight.
1961      	Britain grants independence to Tanganyika (Tanzania) with Julius Nyerere as prime minister.
1961      	British novelist Iris Murdoch publishes A Severed Head.
1961      	English writer Muriel Spark publishes The Prime of Miss Jean Brodie.
1961      	French filmmaker Francois Truffaut directs Jeanne Moreau in Jules and Jim.
1961      	India annexes the Portugese territories of Goa, Daman, and Diu.
1961      	Italian filmmaker Vittorio De Sica directs Sophia Loren in Alberto Moravia's Two Women.
1961      	Italian opera singer Luciano Pavarotti debuts in Puccini's La Boheme.
1961      	Kennedy is inaugurated as the 35th U.S. president; Johnson becomes vice-president.
1961      	President Kennedy begins to increase the U.S. military presence in Vietnam.
1961      	President Kennedy establishes the Peace Corps.
1961      	President Kennedy sets a goal for landing a man on the Moon within the decade.
1961      	President Rafael Trujillo is assassinated in the Dominican Republic.
1961      	Roger Maris breaks Babe Ruth's home-run baseball record with a season total of 61.
1961      	Science fiction writer Robert Heinlein publishes Stranger in a Strange Land.
1961      	Soviet ballet dancer Rudolf Nureyev defects to the West.
1961      	Soviet cosmonaut Yuri Gagarin orbits the earth.
1961      	Swedish filmmaker Ingmar Bergman directs Max Von Sydow in Through a Glass Darkly.
1961      	The Berlin Wall is constructed, separating East and West Berlin.
1961      	The Kurds begin a guerrilla war against Iraq to gain independence for Kurdistan.
1961      	The drug thalidomide is found to cause malformations in new born babies.
1961      	UN secretary-general Dag Hammarskjold is killed in a plane crash in the Congo (Zaire).
1961      	V.S. Naipaul writes about West Indian life in A House for Mr. Biswas.
1962      	Actor Laurence Olivier becomes the first director of the National Theatre in London.
1962      	Aleksandr Solzhenitsyn publishes One Day In the Life of Ivan Denisovich.
1962      	Algeria gains independence from France; Ahmed ben Bella becomes prime minister.
1962      	American artist Jim Dine paints the pop art subject Black Saw.
1962      	American film actress Marilyn Monroe dies from a drug overdose.
1962      	American historian Barbara Tuchman publishes The Guns of August.
1962      	American writer Katherine Anne Porter publishes the novel Ship of Fools.
1962      	American writer Ken Kesey publishes One Flew over the Cuckoo's Nest.
1962      	Astronaut John Glenn becomes the first American to orbit the Earth.
1962      	Basketball player Wilt Chamberlain scores a record 100 points in one game.
1962      	Britain grants independence to Trinidad and Tobago with Eric Williams as chief minister.
1962      	Britain grants independence to Uganda; Milton Obote becomes prime minister.
1962      	British filmmaker David Lean directs Lawrence of Arabia.
1962      	British writer Anthony Burgess publishes the futuristic novel A Clockwork Orange.
1962      	Burmese diplomat U Thant becomes the first Asian secretary general of the UN.
1962      	Edward Albee's play Who's Afraid of Virginia Woolf is produced on Broadway.
1962      	Fashion designer Yves Saint Laurent opens his Parisian fashion house.
1962      	Folk-rock singer and composer Bob Dylan writes Blowin' in the Wind.
1962      	Georges Pompidou becomes premier of France's Fifth Republic.
1962      	Polish filmmaker Roman Polanski directs his first film Knife in the Water.
1962      	Pop artist Andy Warhol begins making silk screen prints of mass-media images.
1962      	Rachel Carson criticizes indiscriminate use of pesticides in her book Silent Spring.
1962      	Richard Burton and Elizabeth Taylor star in Cleopatra, the most expensive film to date.
1962      	Science fiction writer J.G. Ballard publishes The Drowned World.
1962      	Sonny Liston defeats Floyd Patterson to become heavyweight boxing champion.
1962      	The British pop group The Beatles make their first recordings.
1962      	The Cuban Missile Crisis begins; Soviet missiles are withdrawn from Cuba.
1962      	The Mariner 2 spacecraft passes within 21,598 miles of Venus.
1962      	The U.S. Supreme Court rules that school prayers are a violation of the 1st Amendment.
1962      	The U.S. launches Telstar, the first commercial communications satellite.
1962      	The University of Mississippi is forced to admit black student James Meredith.
1963      	A UN peace keeping force ends the secession attempt of Katanga province (Shaba).
1963      	A limited Nuclear Test Ban Treaty is signed by Britain, the U.S., and the USSR.
1963      	American pop vocal group the Beach Boys release the record Surfin' U.S.A.
1963      	American writer Mary McCarthy publishes The Group.
1963      	Arecibo Observatory begins observations with a 1,000-ft wide radio telescope.
1963      	Black nationalist Joshua Nkomo is imprisoned in Rhodesia (now Zimbabwe).
1963      	Britain's entry to the European Economic Community is blocked by France.
1963      	British filmmaker Joseph Losey directs The Servant.
1963      	British spy Harold (Kim) Philby defects to the USSR.
1963      	Czech dissident playwright Vaclav Havel writes The Garden Party.
1963      	English writer John Le Carre publishes The Spy Who Came in from the Cold.
1963      	Filmmaker Stanley Kubrick directs the anti-war film Dr. Strangelove.
1963      	Football running back Jim Brown sets a record for rushes of 1,863 yards.
1963      	Jack Nicklaus becomes the youngest golfer to win the Masters Tournament.
1963      	John F. Kennedy assassin Lee Harvey Oswald is shot and killed by Jack Ruby.
1963      	Kenya gains independence from Britain; Jomo Kenyatta becomes prime minister.
1963      	Levi Eshkol succeeds David Ben-Gurion as prime minister of Israel.
1963      	Ludwig Erhard succeeds Konrad Adenauer as chancellor of West Germany.
1963      	Lyndon B. Johnson is inaugurated as the 36th President of the U.S.
1963      	Malaya, Singapore, Sarawak and Sabah form the Federation of Malaysia.
1963      	Martin Luther King, Jr. makes his "I Have a Dream" speech in Washington, D.C.
1963      	Peter Sellers stars as Inspector Clouseau in the film The Pink Panther.
1963      	Pop artist Claes Oldenburg creates the kapok-filled sculpture Soft Typewriter.
1963      	Pop artist Roy Lichtenstein completes the comic strip painting Whaam.
1963      	President Kennedy is assassinated in Dallas, Texas.
1963      	President Ngo Dinh Diem of South Vietnam is assassinated.
1963      	Race-car driver Jim Clark wins seven Grand Prix events and the world title.
1963      	Sir Alec Douglas-Home succeeds Harold Macmillan as British prime minister.
1963      	Soviet cosmonaut Valentina Tereshkova becomes the first woman in space.
1963      	Sylvia Plath's novel The Bell Jar is published in the year of her death.
1963      	The American X-15 research aircraft establishes an altitude record of 67 miles.
1963      	The Organization of African Unity (OAU) is established in Addis Ababa, Ethiopia.
1963      	The Profumo sex scandal undermines the Conservative government in Britain.
1963      	The Rolling Stones rock band is formed in Britain.
1963      	The first James Bond film Dr. No is produced.
1964      	ANC leader Nelson Mandela is sentenced to life imprisonment in South Africa.
1964      	An earthquake in Alaska causes extensive damage and 114 fatalities.
1964      	Architect Eero Saarinen's St. Louis Arch memorial is completed.
1964      	Arno Penzias and Robert Wilson discover the existence of background radiation.
1964      	Beatlemania develops during the first U.S. tour of the Beatles pop group.
1964      	Black female group the Supremes record the hit song Where Did Our Love Go.
1964      	Britain grants independence to Malawi; H. Kamuzu Banda becomes prime minister.
1964      	Britain grants independence to Zambia; Kenneth D. Kaunda becomes president.
1964      	Britain grants independence to Zanzibar.
1964      	Clint Eastwood stars in Sergio Leone's "spaghetti western" A Fistful of Dollars.
1964      	Comedian Lenny Bruce is convicted for giving an obscene performance.
1964      	Craig Breedlove sets a land speed record of 600 mph in a jet-powered vehicle.
1964      	FRELIMO begins a war of independence against the Portuguese in Mozambique.
1964      	Faisal succeeds his brother Saud as king of Saudi Arabia.
1964      	Fighting breaks out on Cyprus between Greek and Turkish Cypriots.
1964      	General Westmoreland is appointed to command the U.S. forces in South Vietnam.
1964      	Gustavo Diaz Ordaz becomes president of Mexico.
1964      	Ian Smith becomes prime minister of Rhodesia (now Zimbabwe).
1964      	Illustrator Maurice Sendak wins a Caldecott Medal for Where the Wild Things Are.
1964      	Indian prime minister Jawaharlal Nehru dies; he is succeeded by Lal Bahadur Shastri.
1964      	Johnson is reeelected as U.S. president; Humphrey becomes vice-president (1965).
1964      	Julie Andrews and Dick Van Dyke star in the film Mary Poppins.
1964      	Muhammad Ali defeats Sonny Liston for the heavyweight boxing championship.
1964      	North Vietnam allegedly attacks U.S. vessels in the Gulf of Tonkin.
1964      	Peter Weiss' play Marat/ Sade is produced by British director Peter Brook.
1964      	Physicists Murray Gell-Mann and George Zweig propose the quark theory.
1964      	Soviet leader NikitaKhrushchev is forced from office; Aleksei Kosygin becomes premier.
1964      	Tanganyika joins with Zanzibar to form the United Republic of Tanzania.
1964      	The American Ranger 7 spacecraft transmits photos of the surface of the Moon.
1964      	The Labour party is elected to power in Britain; Harold Wilson becomes prime minister.
1964      	The Palestine Liberation Organization (PLO) is formed to represent Palestinians.
1964      	The SR-71 Blackbird reconnaissance aircraft is flown for the first time.
1964      	The Soviet Voskhod 1 spacecraft is launched with a three-man crew.
1964      	The Tonkin Gulf Resolution escalates the use of U.S. personnel in Vietnam.
1964      	The U.S. Civil Rights Act prohibits discrimination in employment.
1964      	The U.S. Surgeon General reports that cigarette smoking is a health hazard.
1964      	The Verrazano-Narrows Bridge opens in New York.
1964      	The Warren Commission decides that Oswald was the sole assassin of John F. Kennedy.
1965      	Actress and singer Barbara Streisand stars in the Broadway musical Funny Girl.
1965      	American pop artist James Rosenquist paints F-111.
1965      	American writer Norman Mailer publishes An American Dream.
1965      	An attempted communist coup leads to military rule in Indonesia under Suharto.
1965      	An electrical blackout in the northeastern U.S. affects 30 million people.
1965      	Astronaut Edward H. White becomes the first American to walk in space.
1965      	Astronauts Virgil Grissom and John Young orbit the Earth in the first Gemini spacecraft.
1965      	British fashion designer Mary Quant introduces the miniskirt.
1965      	Civil war breaks out in the Dominican Republic; U.S. troops restore order.
1965      	Gemini 6 and 7 spacecraft make the first rendezvous in space.
1965      	Houari Boumedienne deposes President Ahmed Ben Bella of Algeria.
1965      	Irish writer Edna O'Brien publishes August Is a Wicked Month.
1965      	Martin Luther King, Jr. leads a civil rights march from Selma to Montgomery, Alabama.
1965      	Mobutu Sese Seko seizes control in the Congo (Zaire) for the second time.
1965      	More than 180,000 U.S. troops are deployed in Vietnam by the end of the year.
1965      	Neil Simon's play The Odd Couple opens on Broadway starring Walter Matthau.
1965      	Nicolae Ceausescu succeeds Gheorghe Gheorghiu-Dej as Romanian leader.
1965      	North Vietnamese army units are in action in South Vietnam for the first time.
1965      	Race riots begin in the Watts section of Los Angeles.
1965      	Rhodesia (Zimbabwe) makes a unilateral declaration of independence from Britain.
1965      	Singapore secedes from Malaysia; Lee Kuan Yew remains as prime minister.
1965      	Soviet cosmonaut Aleksei Leonov makes the first space walk.
1965      	The Black Muslim leader Malcolm X is assassinated in New York City.
1965      	The Houston Astrodome, the first covered stadium, is completed in Texas.
1965      	The Mariner 4 spacecraft passes within 6,118 miles of the planet Mars.
1965      	The Second India-Pakistan War begins in Kashmir.
1965      	The U.S. government establishes Medicare and Medicaid health programs.
1965      	The Vietnam War escalates as the U.S. begins bombing North Vietnam.
1966      	American writer Bernard Malamud publishes The Fixer.
1966      	American writer Truman Capote publishes In Cold Blood.
1966      	Art treasures are ruined during severe floods in Florence, Italy.
1966      	Gen. Yakubu Gowon heads a military government after a countercoup in Nigeria.
1966      	Indian prime minister Lal Bahadur Shastri dies; he is succeeded by Indira Gandhi.
1966      	John Jack Lynch becomes prime minister of Ireland.
1966      	John V. Lindsay becomes mayor of New York City.
1966      	Mao Tse-tung begins China's Cultural Revolution.
1966      	Nigerian prime minister Abubakar Tafawa Balewa is killed in a military coup.
1966      	President De Gaulle withdraws French forces from NATO.
1966      	President Kwame Nkrumah is ousted in a military coup in Ghana.
1966      	Realist sculptor George Segal completes the direct-cast plaster group The Diner.
1966      	South African prime minister Hendrik Verwoerd is assassinated.
1966      	The American Surveyor 1 spacecraft achieves the first soft-landing on the Moon.
1966      	The British Hawker Harrier becomes the first VTOL (vertical takeoff and landing) aircraft.
1966      	The Soviet Luna 9 space probe makes the first landing on the Moon.
1966      	The Soviets mediate to end the India-Pakistan War.
1966      	The first major rally against the Vietnam War takes place in Washington, D.C.
1966      	Tom Stoppard's play Rosencrantz and Guildenstern Are Dead is produced.
1967      	A civil war breaks out in Nigeria after the secession of the state of Biafra.
1967      	A fire kills U.S. astronauts White, Grissom and Chaffee during a launch test.
1967      	A military junta seizes control in Greece; King Constantine II is exiled.
1967      	American writer Joyce Carol Oates publishes A Garden of Earthly Delights.
1967      	Britain grants Aden independence as the People's Democratic Republic of Yemen.
1967      	Colombian writer Gabriel Garcia Marquez publishes One Hundred Years of Solitude.
1967      	Dr. Christiaan Barnard performs the first successful human heart transplant.
1967      	Dustin Hoffman stars in Mike Nichols' film The Graduate.
1967      	Gen. Anastasio Somoza Debayle is elected president of Nicaragua.
1967      	Latin American guerrilla leader Che Guevara is killed in Bolivia.
1967      	Nguyen Van Thieu becomes president of South Vietnam.
1967      	Peter Fonda and Dennis Hopper star in the motorcycle film Easy Rider.
1967      	Quarterback Joe Namath sets a one-season record by passing for 4,007 yards.
1967      	R. Buckminster Fuller designs a geodesic dome for the U.S. Pavilion at Expo '67.
1967      	Radio astronomers Jocelyn Bell Burnell and Antony Hewish discover the first pulsar.
1967      	Sidney Poitier and Rod Steiger star in the film In the Heat of the Night.
1967      	Soviet cosmonaut Vladimir Komarov is killed during the landing of Soyuz 1.
1967      	Tennis player Billie Jean King wins the U.S. Open championship for the first time.
1967      	The North American Soccer League (NASL) is formed.
1967      	The Six-Day War between Israel and the Arab states ends with Israeli victory.
1967      	The X-15 research aircraft establishes a speed record of Mach 6.7 (4,520 mph).
1967      	The hippie musical revue Hair is produced.
1967      	The residents of Gibraltar vote to remain a British crown colony.
1967      	Thurgood Marshall becomes the first black member of the U.S. Supreme Court.
1967      	Warren Beaty and Faye Dunaway star in Arthur Penn's film Bonnie and Clyde.
1967      	Yachtsman Francis Chichester completes the first solo voyage around the world.
1968      	American skater Peggy Fleming wins the singles title at the winter Olympic Games.
1968      	American track star Bob Beamon beats the Olympic long jump record by almost 2 feet.
1968      	American writer Tom Wolfe publishes The Electric Kool-Aid Acid Test.
1968      	Anti-war demonstrators clash with police at the Democratic convention in Chicago.
1968      	Arthur Ashe becomes the first black player to win a major men's tennis title.
1968      	Carlos Castaneda publishes The Teachings of Don Juan: A Yaqui Way of Knowledge.
1968      	Civil rights leader Martin Luther King, Jr. is assassinated.
1968      	Dick Fosbury uses the Fosbury flop to win the Olympic gold medal for the high jump.
1968      	Filmmaker Mel Brooks directs, produces and appears in The Producers.
1968      	Filmmaker Stanley Kubrick directs 2001: A Space Odyssey.
1968      	French downhill skier Jean Claude Killy wins three Olympic gold medals.
1968      	French filmmaker Henri Costa-Gavras directs Z.
1968      	Jacqueline Kennedy marries the Greek shipping millionaire Aristotle Onassis.
1968      	More than 500,000 U.S. troops are deployed in Vietnam.
1968      	Oceanographic ship Glomar Challenger begins the Deep-Sea Drilling Project.
1968      	Omar Torrijos Herrera overthrows the government of Arnulfo Arias in Panama.
1968      	Pierre Trudeau succeeds Lester Pearson as prime minister of Canada.
1968      	Polish filmmaker Roman Polanski directs Rosemary's Baby.
1968      	Portuguese dictator Antonio de Oliveira Salazar is succeeded by Marcello Caetano.
1968      	President Johnson announces he will not seek a second term of office.
1968      	Presidential candidate Robert F. Kennedy is assassinated.
1968      	Spain grants independence to Equatorial Guinea.
1968      	Spanish operatic tenor Placido Domingo debuts at the Metropolitan Opera.
1968      	Student-worker revolts almost topple the goverment of Charles de Gaulle in France.
1968      	The Apollo 8 spacecraft makes the first manned orbit of the Moon.
1968      	The Catholic minority in Northern Ireland demonstrate for British rights.
1968      	The Federal Gun Control Act regulates the interstate commerce in firearms.
1968      	The Saturn rocket lifts the Apollo 7 spacecraft into low Earth orbit.
1968      	The U.S. Navy intelligence gathering ship Pueblo is seized by North Korea.
1968      	The Viet Cong launch the Tet Offensive in Vietnam.
1968      	U.S. troops massacre Vietnamese civilians at My Lai.
1968      	Warsaw Pact forces invade Czechoslovakia to counter increasing liberalization.
1969      	A rock-music festival at Woodstock, N.Y, attracts a crowd of 500,000.
1969      	American astronauts Neil Armstrong and Buzz Aldrin land on the Moon.
1969      	American writer Kurt Vonnegut, Jr. publishes Slaughterhouse-Five.
1969      	Australian Rod Laver becomes the only tennis player to win the Grand Slam twice.
1969      	British filmmaker Ken Russell directs Glenda Jackson in Women in Love.
1969      	British writer John Fowles publishes The French Lieutenant's Woman.
1969      	Catholics and Protestants clash in Northern Ireland; British troops restore order.
1969      	Charles Manson and his followers kill actress Sharon Tate and six of her friends.
1969      	Col. Muammar al-Qaddafi seizes control in Libya; King Idris is deposed.
1969      	Dustin Hoffman and Jon Voight star in John Schlesinger's film Midnight Cowboy.
1969      	Edward Kennedy's female companion dies in a car accident off the Chappaquiddick bridge.
1969      	Gen. Gaafar al-Nimeiry seizes power in Sudan.
1969      	General de Gaulle resigns; Georges Pompidou becomes president of France.
1969      	Golda Meir becomes prime minister of Israel after the death of Levi Eshkol.
1969      	IRA provisionals launch a terrorist campaign against British troops in Ireland.
1969      	Liberal Czech leader Alexander Dubcek is replaced by Gustav Husak.
